Date,Open,High,Low,Close,Adj Close,Volume
2008-10-01,5900.000000,6100.000000,3500.000000,4300.000000,3038.120117,3496032
2008-11-01,4400.000000,5900.000000,4150.000000,4325.000000,3055.783691,3906548
2008-12-01,4250.000000,5700.000000,3975.000000,4250.000000,3002.793213,8937052
2009-01-01,4250.000000,5400.000000,4250.000000,5400.000000,3815.313965,2157060
2009-02-01,5350.000000,6250.000000,5100.000000,5200.000000,3674.005127,2243564
2009-03-01,5000.000000,6000.000000,4925.000000,5900.000000,4168.582520,3883556
2009-04-01,6000.000000,7550.000000,5900.000000,7450.000000,5263.720215,3937056
2009-05-01,7650.000000,12000.000000,7200.000000,11350.000000,8019.226074,13488556
2009-06-01,11250.000000,12750.000000,10700.000000,12550.000000,8867.073242,7026076
2009-07-01,12350.000000,15100.000000,11750.000000,14100.000000,9962.208008,6583568
2009-08-01,14450.000000,15450.000000,14050.000000,14300.000000,10389.849609,2437568
2009-09-01,14050.000000,15050.000000,13700.000000,14900.000000,10825.789063,1559552
2009-10-01,14900.000000,14900.000000,11900.000000,14300.000000,10389.849609,2831072
2009-11-01,13500.000000,17600.000000,13500.000000,17250.000000,12533.210938,6384560
2009-12-01,17700.000000,21800.000000,17200.000000,21550.000000,15657.432617,3997552
2010-01-01,21550.000000,24300.000000,20650.000000,24000.000000,17437.507813,2455560
2010-02-01,24100.000000,26500.000000,23550.000000,26050.000000,18926.962891,10188512
2010-03-01,27100.000000,28000.000000,24600.000000,24750.000000,17982.433594,19319500
2010-04-01,25250.000000,28500.000000,24750.000000,27600.000000,20053.136719,20347503
2010-05-01,27650.000000,38150.000000,27400.000000,33700.000000,24485.169922,45369000
2010-06-01,33000.000000,35450.000000,29450.000000,34200.000000,24848.449219,24355500
2010-07-01,33950.000000,36000.000000,32750.000000,35000.000000,25429.703125,15827500
2010-08-01,36300.000000,41100.000000,34600.000000,39400.000000,29171.449219,14753500
2010-09-01,40700.000000,51600.000000,39400.000000,51600.000000,38204.234375,17673000
2010-10-01,51400.000000,52500.000000,45900.000000,47700.000000,35316.707031,28120500
2010-11-01,48200.000000,48600.000000,40700.000000,40700.000000,30133.951172,18289500
2010-12-01,42000.000000,46100.000000,36900.000000,40000.000000,29615.683594,26178500
2011-01-01,41050.000000,41350.000000,34000.000000,37250.000000,27579.603516,36743000
2011-02-01,36800.000000,38350.000000,33300.000000,36550.000000,27061.335938,25925500
2011-03-01,36800.000000,43100.000000,35850.000000,41850.000000,30985.406250,25819000
2011-04-01,40950.000000,41500.000000,40000.000000,40600.000000,30348.955078,24152000
2011-05-01,40700.000000,44900.000000,40350.000000,43550.000000,32554.113281,14944000
2011-06-01,44500.000000,50100.000000,43300.000000,49800.000000,37226.058594,18231000
2011-07-01,50000.000000,57000.000000,47400.000000,50900.000000,38048.320313,20004500
2011-08-01,53000.000000,56500.000000,46900.000000,55000.000000,41815.359375,27454500
2011-09-01,55000.000000,61500.000000,47400.000000,52500.000000,39914.667969,27799500
