publishedAt,user,comment,likeCount,comment (clean)
2023-05-17T22:29:55Z,Firmansyah Nuralif Rohman,"secara logika kalo misal bu mega se over power itu, harusnya dia super rich ga sih",0,secara logika kalo misal bu mega se over power itu harusnya dia super rich enggak sih
2023-05-17T16:03:38Z,bang sonep,mbak nana tolong setelah ini undang yohanes dong,0,mbak nana tolong setelah ini undang yohanes dong
2023-05-17T09:30:47Z,Agus An Tjorah,"Bismillah,<br>Pantas dan layak  JD RI 2024<br>  Ganjar V Mahfud MD",0,bismillah pantas dan layak jadi ri ganjar v mahfud md
2023-05-22T04:54:54Z,Tobirama senju Sensei,Ganjar Pranowo dan Ridwan Kamil lebih bagus,0,ganjar pranowo dan ridwan kamil lebih bagus
2023-05-17T07:34:26Z,grecenthia dewi,Ok juga ya bapak 1 ini,0,ok juga ya bapak ini
2023-05-17T06:27:58Z,HARRY LO2,Pak..sesekali bikin konten berenanglah.tapi di laut cina pak..pasti seruh itu pak..,0,pak sesekali bikin konten berenanglah tapi di laut cina pak pasti seruh itu pak
2023-05-17T05:33:00Z,Pangaseh Duata,"Saya dari Kalbar Siap memberi kan dukungan kepada Pak Ganjar Pranowo,,siap pun wakil nya tetep pak Ganjar Pranowo",6,saya dari kalbar siap memberi kan dukungan kepada pak ganjar pranowo siap pun wakil nya tetap pak ganjar pranowo
2023-05-17T03:04:48Z,Tafa Hasbullah,saya senang kepada menkopolhukam sekrang...tapi saya salut kpada osongn pdip yg di perintahkan tujuan nya dekati rakyat dan makmurkan...itu real ada nya,0,saya senang kepada menkopolhukam sekarang tapi saya salut kepada osongn pdip yang di perintahkan tujuan nya dekati rakyat dan makmurkan itu real ada nya
2023-05-16T22:05:13Z,Cak Alpin,Import beras bagaimana bapak?<br>Konflik agraria bagaimana?<br>Partai atau rakyat?,0,import beras bagaimana bapak konflik agraria bagaimana partai atau rakyat
2023-05-16T22:04:59Z,Cak Alpin,Import beras bagaimana bapak?<br>Konflik agraria bagaimana?<br>Partai atau rakyat?<br>Gagasan nya apa?,0,import beras bagaimana bapak konflik agraria bagaimana partai atau rakyat gagasan nya apa
2023-05-16T15:39:18Z,Muhammad Nur Imran,Mau menjawab pertanyaan najwa,0,mau menjawab pertanyaan najwa
2023-05-16T15:36:22Z,Muhammad Nur Imran,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 logika sekali sesuai faktanya,0, logika sekali sesuai faktanya
2023-05-16T15:34:05Z,Muhammad Nur Imran,"Jelas, singkat,padat, sesuai dengan fakta 😢",0,jelas singkat padat sesuai dengan fakta 
2023-05-16T14:16:00Z,Kurniawan Susilo,Sikap yg tegas dan luas<br>Tak seperti kebanyakan calon pemimpin bicara hanya berisi &quot;toping&quot;,0,sikap yang tegas dan luastak seperti kebanyakan calon pemimpin bicara hanya berisi toping
2023-05-16T12:28:45Z,ws,Dari sini ke Kick Andi double chek,0,dari sini ke kick andi double chek
2023-05-16T09:51:55Z,Ilyas 05,Dari kalangan politik yang di udang mba najwa yang paling .santai dan selalu .jawaban nya pas hanya pak ganjar. Dari yg ain kalau di panggil itu pada gugup .dan banyak alesan . Naaaah hanya pak ganjar lah .tegas sanati setiap mba nana .nanyakan ini itu dan pak ganjar . Menjawab santun dan tegas .sangat di cermati,0,dari kalangan politik yang di udang mbak najwa yang paling santai dan selalu jawaban nya pas hanya pak ganjar dari yang ain kalau di panggil itu pada gugup dan banyak alesan naaaah hanya pak ganjar lah tegas sanati setiap mbak nana nanyakan ini itu dan pak ganjar menjawab santun dan tegas sangat di cermati
2023-05-16T06:53:24Z,Ani Kusniah,Saya bangga jadi orang Jateng .pernah lihat beliau sepeda sante lewat kota saya Gubug ❤❤,4,saya bangga jadi orang jateng pernah lihat beliau sepeda sante lewat kota saya gubug 
2023-05-16T01:17:17Z,Alif Rinaldi,ANIES RI1 ❤,0,anies ri 
2023-05-15T16:33:40Z,Handoko Ariono,"kak nana&#39; coba undang Anies Baswedan Indonesia ini apa yang akan dia rubah kan katanya Koalisi Perubahan,mudah2an penjelasan Anies tidak muter2..",0,kak nana coba undang anies baswedan indonesia ini apa yang akan dia rubah kan katanya koalisi perubahan mudah mudahan penjelasan anies tidak muter 
2023-05-15T13:04:11Z,Surati,Walau kmrin Pak Ganjar sempat di rujak nitizent saya punya ke yakinan Pak Ganjar ttep number one,0,walau kemarin pak ganjar sempat di rujak nitizent saya punya ke yakinan pak ganjar tetap number one
2023-05-15T11:34:14Z,seni digital,"Sepertinya anies punya lawan berat,",0,sepertinya anies punya lawan berat
2023-05-15T06:54:59Z,Indra,"cerdasss,,,,",0,cerdas
2023-05-15T05:27:16Z,lost word,"bagus lengkap dan berkembang... doa terbaik untukmu pak ganjar <a href=""about:invalid#zCSafez""></a>",0,bagus lengkap dan berkembang doa terbaik untukmu pak ganjar
2023-05-15T04:43:11Z,mr.x,"bangun tol di atas laut,bukan buat sumur resapan😂😂",0,bangun tol di atas laut bukan buat sumur resapan
2023-05-14T16:55:06Z,Anjani Azalea,jujur saya sangat kecewa sama bapak. sumpah pakk  saya kecewaa.. kenpa harus masuk partai tersebut. dan bpak kan tau bahwa partai tersebut momok masyarakat paaakkk.,0,jujur saya sangat kecewa sama bapak sumpah pak saya kecewa kenpa harus masuk partai tersebut dan bpak kan tau bahwa partai tersebut momok masyarakat pak
